chip,filter,ccd,r0,alpha,beta,off,fwhm,seeing
rf1c1,r-SLOAN,f1c1,4.501873145592151,2.110135071936278,6.286547349005322,0.4,4.772510340439071,1.0762010817690106
rf1c2,r-SLOAN,f1c2,300.1094266397718,1.8308295014365583,7933.6573346503965,0.4,5.0697392359005455,1.143226197695573
