,APOGEE_ID,RA,DEC,VHELIO,VERR,VSCATTER,NVISITS,SNR,Hmag
7,2M01272991+3030421,21.874627,30.5117,-4.056337356567383,0.1009997054934501,0.4112292528152466,3,700.68603515625,7.01800012588501
8,2M01273868+3001159,21.911169,30.021109,7.622685432434082,0.1121774390339851,0.2869287431240082,3,93.36588287353516,11.821000099182127
9,2M01273937+3106013,21.914061,31.100388,7.587858200073242,0.0954091399908065,1.4871867895126345,12,1908.16552734375,7.591000080108643
10,2M01274312+3009353,21.929677,30.159821,-49.975093841552734,0.0449858345091342,0.0440685823559761,3,83.8203353881836,11.892000198364258
11,2M01280705+3039162,22.029409,30.654522,-0.0632473677396774,0.0383048057556152,0.064115472137928,3,137.35983276367188,11.638999938964844
12,2M01280828+3031132,22.034513,30.520346,-55.05572891235352,0.0525409504771232,0.0670137926936149,3,106.75579833984376,11.982000350952148
13,2M01280838+3104088,22.034928,31.069118,38.48483276367188,0.2050717920064926,0.0,1,20.354263305664062,14.30799961090088
14,2M01281125+3012458,22.046894,30.21273,-56.38245391845703,0.0252797901630401,0.1188785806298255,3,400.418212890625,9.0
15,2M01281520+3045153,22.063352,30.754272,-47.43087768554688,0.0563491769134998,0.1297185570001602,3,169.251953125,11.689000129699709
16,2M01282144+3126442,22.089347,31.445616,46.14664077758789,0.1005600243806839,0.4095792472362518,4,123.19676971435548,11.83199977874756
17,2M01282219+3035113,22.092479,30.586496,29.074382781982425,0.0458026230335235,0.0709484368562698,3,189.0200958251953,11.538999557495115
18,2M01282254+3035418,22.093952,30.594969,-34.45236587524414,0.0555847287178039,0.0806604847311973,4,102.7326431274414,11.942999839782717
19,2M01283013+3132564,22.125544,31.549002,-39.72536849975586,0.0437330938875675,0.0107843093574047,3,145.5653839111328,11.529999732971191
20,2M01283153+3012278,22.131394,30.207735,3.801267623901367,0.0537624917924404,0.2839312851428985,3,245.73904418945312,10.20199966430664
21,2M01283199+3105217,22.133324,31.089371,-20.397113800048828,0.0254235453903675,0.1059085354208946,3,790.9819946289062,8.388999938964844
22,2M01283494+3015218,22.145604,30.256069,-154.79710388183594,0.0550612621009349,0.3346401751041412,3,88.95366668701172,12.05799961090088
23,2M01283690+3037113,22.153786,30.61982,-9.352526664733888,0.3568589985370636,1.4516363143920898,11,57.48517227172852,14.326000213623049
24,2M01283723+3055074,22.155147,30.918726,-43.97294998168945,0.2375409454107284,0.7157256603240967,12,73.75971984863281,14.32699966430664
25,2M01283763+2950027,22.156796,29.834097,-44.766868591308594,0.0205161347985267,0.0445168949663639,4,783.8573608398438,8.01099967956543
26,2M01284328+3015153,22.180362,30.254276,-22.588350296020508,0.2569119334220886,0.2645650207996368,9,31.436864852905277,14.329999923706056
27,2M01284580+3050343,22.190844,30.842875,-17.456825256347656,0.034206323325634,0.0796622857451438,3,230.686767578125,10.618000030517578
28,2M01284828+2946045,22.201205,29.76792,21.820730209350582,0.0669889226555824,2.025261163711548,6,234.5572967529297,10.942999839782717
29,2M01284932+3043309,22.205513,30.725271,-117.6015625,0.0963072106242179,0.1149469465017318,3,127.92090606689452,11.781999588012695
30,2M01285267+3126082,22.219497,31.435616,31.031221389770508,0.2142892628908157,0.4183152318000793,12,49.33407211303711,14.31700038909912
31,2M01285722+2950494,22.238431,29.847075,36.48086929321289,0.0221731681376695,0.0754049494862556,3,380.3987731933594,9.390000343322754
32,2M01285748+3126517,22.239515,31.447708,-8.684462547302246,0.2158967703580856,0.5303926467895508,12,47.08771896362305,14.303999900817873
33,2M01290257+3033042,22.260734,30.551191,11.783116340637209,0.0458777509629726,0.1928948760032653,3,202.5164794921875,11.364999771118164
34,2M01291502+3050442,22.312589,30.845627,-2.4845962524414062,0.0243170764297246,0.0631362721323967,3,681.4044189453125,8.456000328063965
35,2M01291601+3104277,22.316724,31.074364,-19.64281845092773,0.0851563215255737,0.3322973847389221,3,130.43292236328125,11.623000144958496
36,2M01292128+3001505,22.338677,30.030703,-28.64700508117676,0.0220732763409614,0.0369584411382675,3,843.6887817382812,7.640999794006348
