col1,col2
4447.0,2.437082977576656E-5
4448.0,2.5388126359555033E-5
4449.0,2.6406046855738193E-5
4450.0,2.7424594130838227E-5
4451.0,2.844424494100976E-5
4452.0,2.9464493589726974E-5
4453.0,3.0485514711323327E-5
4454.0,3.150695980007843E-5
4455.0,3.252929341798441E-5
4456.0,3.3552223449837416E-5
4457.0,3.457575512402566E-5
4458.0,3.5599933320968046E-5
4459.0,3.662483619260119E-5
4460.0,3.765053845294708E-5
4461.0,3.867732201398043E-5
4462.0,3.970494670057938E-5
4463.0,4.073326222666312E-5
4464.0,4.176227721890256E-5
4465.0,4.2791904627211686E-5
4466.0,4.382230797836083E-5
4467.0,4.485340163988676E-5
4468.0,4.5885190186131646E-5
4469.0,4.691767862760607E-5
4470.0,4.7950851839827077E-5
4471.0,4.8984211723491784E-5
4472.0,5.0018432484164686E-5
4473.0,5.105332861736887E-5
4474.0,5.208889418014509E-5
4475.0,5.312506022849136E-5
4476.0,5.416218734134425E-5
4477.0,5.519961234621357E-5
4478.0,5.623789705170005E-5
4479.0,5.7276775991423115E-5
4480.0,5.831643152964779E-5
4481.0,6.258729445759954E-5
4482.0,6.686098930437268E-5
4483.0,7.113770200405285E-5
4484.0,7.541724093641276E-5
4485.0,7.970010702342769E-5
4486.0,8.398564902426679E-5
4487.0,8.827394563699927E-5
4488.0,9.256517809462626E-5
4489.0,9.685949353655974E-5
4490.0,1.0115655817880218E-4
4491.0,1.0545103394287891E-4
4492.0,1.097485613435401E-4
4493.0,1.1404778824801291E-4
4494.0,1.1834989431836494E-4
4495.0,1.2265448192300786E-4
4496.0,1.2696129418536366E-4
4497.0,1.3127084869104776E-4
4498.0,1.3558261054011857E-4
4499.0,1.3989734060186444E-4
4500.0,1.4421433460292416E-4
4501.0,1.485458624982015E-4
4502.0,1.528803286846867E-4
4503.0,1.5721792960275732E-4
4504.0,1.6155902229581624E-4
4505.0,1.6590298249984176E-4
4506.0,1.7025041697198856E-4
4507.0,1.746007205604823E-4
4508.0,1.7895451424849513E-4
4509.0,1.833115110893672E-4
4510.0,1.8767165309194696E-4
