col1,col2
6871.8955078125,2.354872737587678E-5
6872.0,2.3695739383541673E-5
6873.0,2.510229309907527E-5
6874.0,2.6508178933817376E-5
6875.0,2.791339952008903E-5
6876.0,2.931795807410704E-5
6877.0,3.0721848826988745E-5
6878.0,3.2124794689949445E-5
6879.0,3.352734739529682E-5
6880.0,3.4929232384603304E-5
6881.0,3.633044513138509E-5
6881.8984375,3.7588776869120845E-5
6882.0,3.763293121353461E-5
6883.0,3.806756699779244E-5
6884.0,3.85019985977602E-5
6885.0,3.8936218117033307E-5
6886.0,3.9370229562612515E-5
6887.0,3.980403712222644E-5
6888.0,4.0237632628336586E-5
6889.0,4.067102022349759E-5
6890.0,4.1104204230761E-5
6891.0,4.153718296379421E-5
6891.90087890625,4.19267370892823E-5
6892.0,4.221988826683255E-5
6893.0,4.517699404312371E-5
6894.0,4.813269426209538E-5
6895.0,5.108699367276657E-5
6896.0,5.403989825230451E-5
6897.0,5.699139744505713E-5
6898.0,5.994149692120801E-5
6899.0,6.289020357753678E-5
6900.0,6.58375050182163E-5
6901.0,6.878343020465941E-5
6901.90380859375,7.14447880728704E-5
6902.0,7.189787022689221E-5
6903.0,7.660685483427566E-5
6904.0,8.131360949698104E-5
6905.0,8.601814373056769E-5
6906.0,9.071964897324951E-5
6907.0,9.541968663522738E-5
6908.0,1.0011748725792103E-4
6909.0,1.0481306084528171E-4
6910.0,1.095064193542732E-4
6911.0,1.141975946432444E-4
6911.90625,1.1844705388831459E-4
6912.0,1.1898611987154871E-4
6913.0,1.2473468180644243E-4
6914.0,1.3048051062193746E-4
6915.0,1.362236193872632E-4
6916.0,1.419640235608218E-4
6917.0,1.4770169493635624E-4
6918.0,1.534366483750811E-4
6919.0,1.5916751150604264E-4
6920.0,1.648969817207794E-4
6921.0,1.7062383717622804E-4
6921.9091796875,1.7582821066812227E-4
6922.0,1.7664615277669248E-4
6923.0,1.856499900980165E-4
6924.0,1.9464959299922037E-4
6925.0,2.0364492304847793E-4
6926.0,2.1263600064282224E-4
6927.0,2.216228499207381E-4
6928.0,2.3060542683737652E-4
6929.0,2.3958375459602596E-4
6930.0,2.48557860136712E-4
6931.0,2.5752540528293014E-4
6931.91162109375,2.6569868545066663E-4
6932.0,2.6701274879161634E-4
6933.0,2.8187746877087383E-4
6934.0,2.967351295361281E-4
6935.0,3.115857606685729E-4
6936.0,3.2642939793026506E-4
6937.0,3.412659767981354E-4
6938.0,3.5609553148929996E-4
6939.0,3.709181023939403E-4
6940.0,3.857336157279878E-4
6941.0,4.005419798526203E-4
6941.91455078125,4.140788685779616E-4
6942.0,4.1614366572311726E-4
6943.0,4.4029758727600894E-4
6944.0,4.6444374339639857E-4
6945.0,4.885784075784536E-4
6946.0,5.127016285826408E-4
6947.0,5.368134652126143E-4
6948.0,5.609138112730814E-4
6949.0,5.850027230573416E-4
6950.0,6.090802668891848E-4
6951.0,6.331463154562678E-4
6951.9169921875,6.552046513507268E-4
6952.0,6.583342598716032E-4
6953.0,6.96027228144125E-4
6954.0,7.336958395708909E-4
6955.0,7.713526612202352E-4
6956.0,8.089916996873975E-4
6957.0,8.466127951930118E-4
6958.0,8.842161246184404E-4
6959.0,9.21801512517336E-4
6960.0,9.593690516065681E-4
6961.0,9.969193473655228E-4
6961.919921875,0.0010314468730948272
6962.0,0.001036311714963971
6963.0,0.0010970473760333849
6964.0,0.0011577543963878431
6965.0,0.0012184218981707926
6966.0,0.0012790707738704313
6967.0,0.0013396910503535784
6968.0,0.0014002824625301738
6969.0,0.0014608451509492493
6970.0,0.0015213792813913525
6971.0,0.0015818855524984035
6971.92236328125,0.001637668937537594
6972.0,0.0016454032242050126
6973.0,0.001744999546555507
6974.0,0.0018445486344977342
6975.0,0.001944050671437247
6976.0,0.0020434880140630103
6977.0,0.002142895126080824
6978.0,0.0022422554573053297
6979.0,0.002341568563381831
6980.0,0.0024408346795170024
6981.0,0.0025400544967000703
6981.92529296875,0.0026318198556252747
6982.0,0.00264417395561707
6983.0,0.0028094992733235153
6984.0,0.002974746788224376
6985.0,0.003139915918236039
6986.0,0.0033049780696001105
6987.0,0.0034699899925639674
6988.0,0.0036349235400564197
6989.0,0.0037997790763392818
6990.0,0.003964557034391478
6991.0,0.004129256625817021
6991.927734375,0.004281984393278967
6992.0,0.004302375145326661
6993.0,0.004584468035283974
6994.0,0.00486642712410887
6995.0,0.005148252894264609
6996.0,0.0054298984411719365
6997.0,0.005711455241990931
6998.0,0.005992879452577931
6999.0,0.006274169888245949
7000.0,0.006555327178252412
7001.0,0.006835974048031018
7001.9306640625,0.0070970138262334
7002.0,0.007129485890151047
7003.0,0.007597669068368218
7004.0,0.008065579499070927
7005.0,0.008533215627621651
7006.0,0.009000578322512295
7007.0,0.00946758579350017
7008.0,0.0099343978133074
7009.0,0.01040093771629311
7010.0,0.010867203460755526
7011.0,0.011333197901013592
7011.93310546875,0.011767774943409847
7012.0,0.01181997761711486
7013.0,0.01260010585219925
7014.0,0.013379777983639136
7015.0,0.01415899561527108
7016.0,0.014937625250288416
7017.0,0.015715923105939895
7018.0,0.01649376709391643
7019.0,0.017271153985869373
7020.0,0.01804808554785805
7021.0,0.018824579069743635
7021.93603515625,0.01955099133698065
7022.0,0.01963333272480413
7023.0,0.0209202243920359
7024.0,0.02220636727633203
7025.0,0.023491757093207492
7026.0,0.024776181880733678
7027.0,0.026060059441796363
7028.0,0.027343186753335004
7029.0,0.028625567009831713
7030.0,0.02990719458728305
7031.0,0.031186979883750264
7031.9384765625,0.03238726825675593
7032.0,0.03251074864440565
7033.0,0.034517094084385205
7034.0,0.03652212571008613
7035.0,0.0385255105780199
7036.0,0.040527898570940336
7037.0,0.04252897409287677
7038.0,0.04452874223090896
7039.0,0.04652719435155098
7040.0,0.04852433533306036
7041.0,0.05052018692505116
7041.94140625,0.05239789313278986
7042.0,0.05255742969802022
7043.0,0.055279242817474344
7044.0,0.05799927840890529
7045.0,0.060716993360999824
7046.0,0.06343344064684205
7047.0,0.06614809984616786
7048.0,0.06886097789358375
7049.0,0.07157208285642304
7050.0,0.07428140068965086
7051.0,0.076988939918277
7051.94384765625,0.0795428206151249
7052.0,0.07973395046840663
7053.0,0.08313653564300116
7054.0,0.08653612869878138
7055.0,0.08993422651805637
7056.0,0.09333008299107694
7057.0,0.09672370790021315
7058.0,0.10011511244526247
7059.0,0.10350427684585758
7060.0,0.10689122309952659
7061.0,0.11027594699620108
7061.94677734375,0.11347847475365973
7062.0,0.11367246387053645
7063.0,0.11731504486228787
7064.0,0.12095621292378463
7065.0,0.12459498446525405
7066.0,0.12823137367859053
7067.0,0.1318653549926495
7068.0,0.1354969422191824
7069.0,0.13912615068756218
7070.0,0.14275295254942674
7071.0,0.14637740927518147
7071.94921875,0.14981437001550557
7072.0,0.14997252835331293
7073.0,0.15308724784673947
7074.0,0.15619992677536115
7075.0,0.1593105335546525
7076.0,0.16241908485814457
7077.0,0.16552559865921168
7078.0,0.16863004142289015
7079.0,0.1717324307975529
7080.0,0.1748327857290479
7081.0,0.1779295413419053
7081.9521484375,0.18087766663285992
7082.0,0.18098173601924133
7083.0,0.18315583457272533
7084.0,0.1853284671175117
7085.0,0.18749965303775928
7086.0,0.18966941262654816
7087.0,0.19183770699610703
7088.0,0.1940045562122565
7089.0,0.19616998124807078
7090.0,0.19833220226866188
7091.0,0.2004948177309291
7091.95458984375,0.202557864294069
7092.0,0.20261840512542273
7093.0,0.20395113505901008
7094.0,0.20528298687757035
7095.0,0.20661391815151403
7096.0,0.20794395048415823
7097.0,0.20927310603680174
7098.0,0.21059949395498864
7099.0,0.21192681974214966
7100.0,0.21325327009022685
7101.0,0.2145788691685318
7101.95751953125,0.21584731621963432
7102.0,0.2158770280856587
7103.0,0.21657622079112548
7104.0,0.21727490362148305
7105.0,0.21797309929217568
7106.0,0.2186708308128287
7107.0,0.21936612776841152
7108.0,0.22006287985886516
7109.0,0.22075912254402144
7110.0,0.2214548789067974
7111.0,0.22215024517264687
7111.9599609375,0.22281729065573935
7112.0,0.22282901294771665
7113.0,0.2231216685580902
7114.0,0.22341412492028298
7115.0,0.22370633545620305
7116.0,0.22399635747300287
7117.0,0.22428814403818212
7118.0,0.22457968491847569
7119.0,0.22487100359727596
7120.0,0.22516212368224545
7121.0,0.22545299822194298
7121.962890625,0.22573286882252094
7122.0,0.22573589339630065
7123.0,0.22581737717722558
7124.0,0.22589676910123818
7125.0,0.22597808203959122
7126.0,0.22605928636441977
7127.0,0.22614040571674454
7128.0,0.2262214637740005
7129.0,0.22630241328493975
7130.0,0.22638327791789048
7131.0,0.22646415350947444
7131.96533203125,0.22654212206282806
7132.0,0.22654177291968727
7133.0,0.22652969952757437
7134.0,0.22651961379927818
7135.0,0.22650947910468963
7136.0,0.22649931913669383
7137.0,0.2264891575864255
7138.0,0.22647894710542732
7139.0,0.22646873506409443
7140.0,0.22645847411573927
7141.0,0.2264462733440138
7141.96826171875,0.22643638456755905
7142.0,0.22643413758950423
7143.0,0.2263633242704329
7144.0,0.22629252539480219
7145.0,0.22622176461762303
7146.0,0.22615099461629307
7147.0,0.22608023905260202
7148.0,0.2260095215612324
7149.0,0.22593879486024385
7150.0,0.2258661218763133
7151.0,0.22579553582621342
7151.970703125,0.22572703146782525
7152.0,0.22572440479178021
7153.0,0.22563478500244452
7154.0,0.22554516845068678
7155.0,0.22545557873989616
7156.0,0.22536603943845995
7157.0,0.22527650338255284
7158.0,0.2251850153610953
7159.0,0.22509555722684743
7160.0,0.22500610234587098
7161.0,0.22491678075580612
7161.9736328125,0.224829862900367
7162.0,0.22482677829330538
7163.0,0.22470979120387624
7164.0,0.22459284894753623
7165.0,0.2244759749993126
7166.0,0.2243571504151285
7167.0,0.22424036701231936
7168.0,0.22412360491821814
7169.0,0.22400688759625437
7170.0,0.22389023846347006
7171.0,0.2237736128007497
7171.97607421875,0.2236598206392825
7172.0,0.22365662980026907
