,ID,filter,rc,rt
0,U49,r-SLOAN,0.6984828173430366,1.4330680819503092
1,R12,r-SLOAN,0.8465901503229945,8.810295755176393
2,R14,r-SLOAN,0.2960684895274909,7.428369716819293
3,H10,r-SLOAN,0.3908060626363028,8.273567336135212
