ID,filter,rc,rt
1.0,r-SLOAN,0.7385357362290311,21.276538763025286
2.0,r-SLOAN,0.742898237826992,
3.0,r-SLOAN,0.740890896677446,
4.0,r-SLOAN,1.9809867269275787,
5.0,r-SLOAN,0.7098383564516738,
6.0,r-SLOAN,2.9077431225939057,
7.0,r-SLOAN,1.0034145653434452,
8.0,r-SLOAN,2.4308118934296177,22.495102077770188
9.0,r-SLOAN,2.330839112106458,
10.0,r-SLOAN,0.7007708360740345,22.098818481441317
11.0,r-SLOAN,0.6615433065466936,
12.0,r-SLOAN,0.7475976581510726,
13.0,r-SLOAN,1.632559280743863,
14.0,r-SLOAN,1.6028638869167426,22.817478781364628
15.0,r-SLOAN,0.7533545076607392,21.45707368875931
16.0,r-SLOAN,0.850519771598945,21.255753915090885
17.0,r-SLOAN,0.7672387447476209,
18.0,r-SLOAN,0.7182203341659578,21.522992189814598
19.0,r-SLOAN,0.5976222243442194,23.55449438199957
20.0,r-SLOAN,0.739195329062579,
21.0,r-SLOAN,0.7923267127500273,22.293889424640316
22.0,r-SLOAN,0.7923262989916664,
23.0,r-SLOAN,0.7923205905336667,22.352143896801234
24.0,r-SLOAN,0.7478699545484512,
25.0,r-SLOAN,1.1752535977979146,22.345721390037173
26.0,r-SLOAN,2.5109191276650513,
27.0,r-SLOAN,1.583654245063699,
28.0,r-SLOAN,0.7424615402992947,18.681138312571186
29.0,r-SLOAN,1.1747316051622918,
30.0,r-SLOAN,0.7523550261091615,20.8879509756832
31.0,r-SLOAN,0.7532001060941937,
32.0,r-SLOAN,0.7947433010265575,22.336489043994153
33.0,r-SLOAN,0.7351158555877503,21.75605059210039
34.0,r-SLOAN,0.7456974979447969,22.09131259699893
35.0,r-SLOAN,0.8501118529226057,21.148509593097533
36.0,r-SLOAN,0.7011365022291542,23.054772264295387
37.0,r-SLOAN,0.6610761354763798,22.466815818891135
38.0,r-SLOAN,0.7745316613775036,
39.0,r-SLOAN,0.7235063220612297,
40.0,r-SLOAN,0.6496197350471699,
41.0,r-SLOAN,0.6496682757749138,24.727298538430006
42.0,r-SLOAN,0.6497512602710688,22.002708833825597
43.0,r-SLOAN,0.7358919545322573,20.998141517974755
44.0,r-SLOAN,0.7596188847419042,
45.0,r-SLOAN,0.8234250060300284,
46.0,r-SLOAN,0.7624224507379828,21.07280637592494
47.0,r-SLOAN,0.7981791171175144,
48.0,r-SLOAN,0.7700770280428972,
49.0,r-SLOAN,0.7953583871951441,22.20623703964367
50.0,r-SLOAN,0.6181554929813056,
