Wavelength(nm),Transmittance(%)
1200.0,0.28288126
1199.5,0.27731055
1199.0,0.278356105
1198.5,0.277334124
1198.0,0.266790241
1197.5,0.264522672
1197.0,0.264286459
1196.5,0.262221217
1196.0,0.252505362
1195.5,0.255624086
1195.0,0.250865609
1194.5,0.247987896
1194.0,0.238923982
1193.5,0.238507316
1193.0,0.238934189
1192.5,0.23148945
1192.0,0.231085748
1191.5,0.223859057
1191.0,0.22634548
1190.5,0.221402451
1190.0,0.215857506
1189.5,0.217728943
1189.0,0.211348429
1188.5,0.208490059
1188.0,0.204405487
1187.5,0.203778431
1187.0,0.198357433
1186.5,0.200807482
1186.0,0.191343069
1185.5,0.189100325
1185.0,0.18853955
1184.5,0.185337097
1184.0,0.183501273
1183.5,0.182475582
1183.0,0.175822869
1182.5,0.172972545
1182.0,0.172187507
1181.5,0.171207339
1181.0,0.170563206
1180.5,0.163990825
1180.0,0.162447542
1179.5,0.16284503
1179.0,0.158075899
1178.5,0.154667378
1178.0,0.155297622
1177.5,0.149622187
1177.0,0.150859743
1176.5,0.146784529
1176.0,0.14530386
1175.5,0.143152446
1175.0,0.144084334
1174.5,0.143719271
1174.0,0.138083503
1173.5,0.137216687
1173.0,0.133269653
1172.5,0.132666767
1172.0,0.13156648
1171.5,0.130322784
1171.0,0.126274809
1170.5,0.127804309
1170.0,0.124662869
1169.5,0.121303089
1169.0,0.121053614
1168.5,0.122129478
1168.0,0.122051165
1167.5,0.116169594
1167.0,0.118138872
1166.5,0.116220154
1166.0,0.113124974
1165.5,0.116026342
1165.0,0.107918166
1164.5,0.111342967
1164.0,0.110934116
1163.5,0.108483434
1163.0,0.108944498
1162.5,0.108143106
1162.0,0.105503902
1161.5,0.105984792
1161.0,0.104278155
1160.5,0.100723222
1160.0,0.098931588
1159.5,0.102051601
1159.0,0.104627512
1158.5,0.096355893
1158.0,0.096990898
1157.5,0.099397063
1157.0,0.100548916
1156.5,0.099230118
1156.0,0.097483002
1155.5,0.096937694
1155.0,0.09634766
1154.5,0.097218059
1154.0,0.090963595
1153.5,0.092737623
1153.0,0.093446091
1152.5,0.094876491
1152.0,0.089251392
1151.5,0.088573314
1151.0,0.090435639
1150.5,0.091885604
1150.0,0.091530845
1149.5,0.090363555
1149.0,0.091752656
1148.5,0.088448867
1148.0,0.087690733
1147.5,0.090659924
1147.0,0.081883118
1146.5,0.082613222
1146.0,0.0896376
1145.5,0.086009786
1145.0,0.085793585
1144.5,0.081642345
1144.0,0.085395508
1143.5,0.085199125
1143.0,0.083292156
1142.5,0.086912423
1142.0,0.085600667
1141.5,0.081042968
1141.0,0.082613446
1140.5,0.083458409
1140.0,0.080776893
1139.5,0.083685815
1139.0,0.080967337
1138.5,0.078098617
1138.0,0.078340843
1137.5,0.079847604
1137.0,0.080042273
1136.5,0.075250037
1136.0,0.074836388
1135.5,0.080902196
1135.0,0.074912444
1134.5,0.072987877
1134.0,0.076262176
1133.5,0.074494407
1133.0,0.070944309
1132.5,0.074751712
1132.0,0.071478546
1131.5,0.068752535
1131.0,0.070454307
1130.5,0.066640295
1130.0,0.066144317
1129.5,0.068890505
1129.0,0.066376448
1128.5,0.064012446
1128.0,0.065201744
1127.5,0.063141979
1127.0,0.060652442
1126.5,0.058022805
1126.0,0.060927115
1125.5,0.057377409
1125.0,0.057652719
1124.5,0.052922491
1124.0,0.057077151
1123.5,0.055597827
1123.0,0.051661946
1122.5,0.04973156
